Transcriptomic space,Ontological and phenotypic spaces,Literature co-occurrence space,Genetic space,Drug space,ICD9,ICD9 Name
acne,acne,acne vulgaris,acne,acne,706,Diseases of sebaceous glands
actinic keratosis,actinic keratosis,actinic keratosis,"keratosis, actinic",actinic keratosis,702,other dermatoses
acute myeloid leukemia,acute myeloid leukemia,acute myeloid leukemia,"leukemia, myeloid, acute",acute myeloid leukemia,205,myeloid leukemia
adrenal adenoma,adrenal adenoma,adrenocortical adenoma,adrenocortical adenoma,adrenocortical carcinoma,227,Benign neoplasm of other endocrine glands and related structures
alcoholism,alcohol dependence,alcohol dependence,alcohol abuse or dependence,alcohol dependence,303,Alcohol dependence syndrome
allergic asthma,allergic asthma,"asthma, aspirin-induced",allergic asthma,asthma,493,asthma
allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis,"dermatitis, allergic contact",contact dermatitis,692,Contact dermatitis and other eczema
alopecia areata,alopecia areata,alopecia areata,alopecia areata,alopecia areata,704,diseases of hair and hair follicles
alzheimer's disease,alzheimer's disease,alzheimer's disease,alzheimer disease,alzheimers disease,331,other cerebral degenerations
aortic aneurysm,aortic aneurysm,aortic aneurysm,aortic aneurysm,aortic aneurysm,441,aortic aneurysm and dissection
asthma,asthma,asthma,asthma,asthma,493,asthma
astrocytoma,astrocytoma,astrocytoma,astrocytoma,astrocytoma,191,malignant neoplasm of brain
atopic dermatitis,atopic dermatitis,atopic dermatitis,adult atopic dermatitis,atopic eczema,691,atopic dermatitis and related conditions
autism,autistic disorder,autistic disorder,autistic disorder,autism,299,pervasive developmental disorders
bacterial meningitis,bacterial meningitis,bacterial meningitis,"meningitis, bacterial",bacterial meningitis,320,bacterial meningitis
bipolar disorder,bipolar disorder,bipolar disorder,bipolar disorder,bipolar disorder,296,episodic mood disorders
bladder cancer,urinary bladder cancer,urinary bladder cancer,carcinoma of bladder,bladder carcinoma,188,Malignant neoplasm of bladder
breast lobular carcinoma,invasive lobular carcinoma,breast cancer,"breast cancer, lobular",breast carcinoma,174,Malignant neoplasm of female breast
cerebral palsy,cerebral palsy,spastic diplegia,cerebral palsy,cerebral palsy,343,infantile cerebral palsy
cervical squamous cell carcinoma,cervical squamous cell carcinoma,cervical cancer,cervix carcinoma,cervical carcinoma,180,Malignant neoplasm of cervix uteri
cervical intraepithelial neoplasia,cervix uteri carcinoma in situ,cervix uteri carcinoma in situ,high grade cervical intraepithelial neoplasia,cervical carcinoma,233,Carcinoma in situ of breast and genitourinary system
chronic lymphocytic leukemia,chronic lymphocytic leukemia,chronic lymphocytic leukemia,"leukemia, lymphocytic, chronic, b-cell",chronic lymphocytic leukemia,204,lymphoid leukemia
chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,severe chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,496,"Chronic airway obstruction, not elsewhere classified"
colorectal adenocarcinoma,colorectal cancer,colon cancer,colorectal cancer,colorectal adenocarcinoma,153,Malignant neoplasm of colon
crohn's disease,crohn's disease,crohn's colitis,crohn disease,crohn's disease,555,Regional enteritis
cystic fibrosis,cystic fibrosis,cystic fibrosis,cystic fibrosis,cystic fibrosis,277,Other and unspecified disorders of metabolism
dengue fever,dengue disease,dengue disease,dengue,not found,61,Dengue
